date,key,mobility_driving,mobility_transit,mobility_walking,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential
1/13/2020,US_NY_36061,0,,,,,,,,
1/14/2020,US_NY_36061,-5.14,,,,,,,,
1/15/2020,US_NY_36061,-0.77,,,,,,,,
1/16/2020,US_NY_36061,3.35,,,,,,,,
1/17/2020,US_NY_36061,22.96,,,,,,,,
1/18/2020,US_NY_36061,15.13,,,,,,,,
1/19/2020,US_NY_36061,7.98,,,,,,,,
1/20/2020,US_NY_36061,-12.27,,,,,,,,
1/21/2020,US_NY_36061,-9.36,,,,,,,,
1/22/2020,US_NY_36061,-4.57,,,,,,,,
1/23/2020,US_NY_36061,2.7,,,,,,,,
1/24/2020,US_NY_36061,25.13,,,,,,,,
1/25/2020,US_NY_36061,22.78,,,,,,,,
1/26/2020,US_NY_36061,-1.74,,,,,,,,
1/27/2020,US_NY_36061,-12.3,,,,,,,,
1/28/2020,US_NY_36061,-8.99,,,,,,,,
1/29/2020,US_NY_36061,-4.87,,,,,,,,
1/30/2020,US_NY_36061,2.22,,,,,,,,
1/31/2020,US_NY_36061,24.78,,,,,,,,
2/1/2020,US_NY_36061,25.15,,,,,,,,
2/2/2020,US_NY_36061,-12.36,,,,,,,,
2/3/2020,US_NY_36061,-8.48,,,,,,,,
2/4/2020,US_NY_36061,-5.84,,,,,,,,
2/5/2020,US_NY_36061,-3.02,,,,,,,,
2/6/2020,US_NY_36061,4.86,,,,,,,,
2/7/2020,US_NY_36061,27.74,,,,,,,,
2/8/2020,US_NY_36061,35.69,,,,,,,,
2/9/2020,US_NY_36061,3.3,,,,,,,,
2/10/2020,US_NY_36061,-5.24,,,,,,,,
2/11/2020,US_NY_36061,0.37,,,,,,,,
2/12/2020,US_NY_36061,1.32,,,,,,,,
2/13/2020,US_NY_36061,11.18,,,,,,,,
2/14/2020,US_NY_36061,46.48,,,,,,,,
2/15/2020,US_NY_36061,41.72,,,2,-5,0,-1,0,0
2/16/2020,US_NY_36061,19.17,,,6,-2,4,1,-2,0
2/17/2020,US_NY_36061,5.53,,,-5,-12,13,-25,-51,10
2/18/2020,US_NY_36061,1.68,,,0,-2,5,-5,-6,2
2/19/2020,US_NY_36061,6.02,,,2,-1,15,-1,-4,1
2/20/2020,US_NY_36061,11.83,,,3,-1,6,-1,-5,1
2/21/2020,US_NY_36061,32.35,,,-2,-5,-7,-4,-5,2
2/22/2020,US_NY_36061,40.44,,,6,4,25,5,7,-1
2/23/2020,US_NY_36061,3.3,,,0,2,18,1,2,-1
2/24/2020,US_NY_36061,-5.65,,,1,1,17,1,4,0
2/25/2020,US_NY_36061,-2.54,,,-3,-3,3,-1,3,1
2/26/2020,US_NY_36061,0.31,,,-1,0,4,-1,3,0
2/27/2020,US_NY_36061,7.15,,,1,2,6,0,3,0
2/28/2020,US_NY_36061,31.44,,,0,1,-6,0,3,0
2/29/2020,US_NY_36061,33.45,,,1,2,-2,-1,6,0
3/1/2020,US_NY_36061,-0.24,,,-3,2,-7,-3,1,0
3/2/2020,US_NY_36061,-3.7,,,3,6,17,-3,4,0
3/3/2020,US_NY_36061,-1.26,,,0,6,5,-1,3,0
3/4/2020,US_NY_36061,3.39,,,3,9,13,-3,2,0
3/5/2020,US_NY_36061,10.85,,,2,10,14,-2,2,0
3/6/2020,US_NY_36061,25.92,,,-8,-3,-18,-4,-1,3
3/7/2020,US_NY_36061,32.34,,,1,9,8,-2,7,0
3/8/2020,US_NY_36061,-0.36,,,-5,3,11,-4,0,0
3/9/2020,US_NY_36061,0.97,,,0,6,34,-7,-3,2
3/10/2020,US_NY_36061,-4.96,,,-6,7,12,-11,-7,4
3/11/2020,US_NY_36061,-11.47,,,-10,7,9,-15,-12,5
3/12/2020,US_NY_36061,-20.89,,,-19,20,-4,-20,-18,8
3/13/2020,US_NY_36061,-22.63,,,-30,12,-18,-30,-26,10
3/14/2020,US_NY_36061,-37.28,,,-37,7,-14,-35,-9,5
3/15/2020,US_NY_36061,-56.47,,,-46,-2,-28,-42,-17,7
3/16/2020,US_NY_36061,-59.17,,,-48,-4,-40,-48,-48,18
3/17/2020,US_NY_36061,-66.03,,,-61,-9,-40,-55,-55,21
3/18/2020,US_NY_36061,-68.9,,,-65,-15,-38,-59,-58,22
3/19/2020,US_NY_36061,-72.4,,,-70,-25,-51,-63,-62,25
3/20/2020,US_NY_36061,-71.29,,,-71,-21,-49,-64,-63,26
3/21/2020,US_NY_36061,-77.13,,,-76,-23,-51,-67,-41,15
3/22/2020,US_NY_36061,-82.64,,,-81,-38,-66,-73,-48,16
3/23/2020,US_NY_36061,-81.67,,,-83,-57,-79,-77,-75,32
3/24/2020,US_NY_36061,-80.37,,,-79,-39,-56,-73,-74,29
3/25/2020,US_NY_36061,-81.46,,,-82,-48,-70,-75,-75,31
3/26/2020,US_NY_36061,-80.39,,,-81,-42,-56,-75,-75,31
3/27/2020,US_NY_36061,-78.13,,,-81,-45,-59,-75,-74,32
3/28/2020,US_NY_36061,-82.2,,,-86,-50,-77,-77,-56,20
3/29/2020,US_NY_36061,-84.46,,,-86,-51,-79,-78,-57,19
3/30/2020,US_NY_36061,-81.51,,,-82,-50,-68,-77,-77,31
3/31/2020,US_NY_36061,-81.72,,,-83,-49,-67,-78,-78,32
4/1/2020,US_NY_36061,-81.56,,,-82,-46,-62,-78,-77,31
4/2/2020,US_NY_36061,-81.72,,,-84,-47,-67,-79,-78,33
4/3/2020,US_NY_36061,-80.18,,,-85,-50,-79,-79,-78,34
4/4/2020,US_NY_36061,-81.7,,,-85,-43,-62,-77,-57,19
4/5/2020,US_NY_36061,-83.61,,,-85,-47,-67,-78,-56,18
4/6/2020,US_NY_36061,-81.69,,,-83,-48,-61,-79,-77,31
4/7/2020,US_NY_36061,-81.37,,,-85,-47,-60,-80,-78,32
4/8/2020,US_NY_36061,-81.31,,,-87,-49,-65,-81,-79,32
4/9/2020,US_NY_36061,-81.2,,,-87,-51,-72,-81,-80,34
4/10/2020,US_NY_36061,-79.39,,,-88,-50,-77,-81,-79,35
4/11/2020,US_NY_36061,-80.08,,,-86,-42,-61,-78,-55,19
4/12/2020,US_NY_36061,-83.15,,,-88,-51,-62,-78,-56,18
4/13/2020,US_NY_36061,-81.5,,,-89,-63,-78,-83,-79,34
4/14/2020,US_NY_36061,-79.73,,,-85,-45,-60,-79,-77,31
4/15/2020,US_NY_36061,-79.44,,,-85,-47,-64,-80,-77,32
4/16/2020,US_NY_36061,-79.29,,,-86,-46,-67,-80,-77,32
4/17/2020,US_NY_36061,-77.27,,,-87,-48,-73,-80,-76,33
4/18/2020,US_NY_36061,-79.36,,,-88,-46,-74,-79,-54,20
4/19/2020,US_NY_36061,-78.99,,,-86,-44,-53,-76,-51,17
4/20/2020,US_NY_36061,-78.57,,,-85,-49,-65,-79,-76,31
4/21/2020,US_NY_36061,-79.53,,,-87,-53,-69,-81,-77,32
4/22/2020,US_NY_36061,-77.87,,,-85,-46,-63,-80,-76,31
4/23/2020,US_NY_36061,-78.09,,,-86,-47,-68,-80,-77,32
4/24/2020,US_NY_36061,-76.5,,,-87,-52,-78,-81,-76,34
4/25/2020,US_NY_36061,-73.98,,,-84,-36,-42,-75,-49,17
4/26/2020,US_NY_36061,-80.61,,,-89,-54,-80,-79,-55,19
4/27/2020,US_NY_36061,-78.05,,,-84,-49,-69,-79,-75,31
4/28/2020,US_NY_36061,-74.76,,,-83,-41,-42,-78,-75,23
4/29/2020,US_NY_36061,-76.81,,,-85,-47,-65,-79,-76,31
4/30/2020,US_NY_36061,-76.52,,,-85,-49,-71,-80,-77,32
5/1/2020,US_NY_36061,-72.63,,,-84,-43,-66,-78,-74,31
5/2/2020,US_NY_36061,-69.87,,,-81,-31,-28,-73,-45,15
5/3/2020,US_NY_36061,-73.66,,,-82,-38,-36,-74,-47,14
5/4/2020,US_NY_36061,-73.55,,,-81,-43,-57,-77,-74,29
5/5/2020,US_NY_36061,-72.7,,,-81,-39,-51,-77,-74,29
5/6/2020,US_NY_36061,-74.78,,,-84,-47,-68,-78,-75,31
5/7/2020,US_NY_36061,-72.16,,,-81,-36,-45,-76,-74,29
5/8/2020,US_NY_36061,-72,,,-84,-45,-74,-78,-73,32
5/9/2020,US_NY_36061,-72.57,,,-83,-33,-63,-75,-48,17
5/10/2020,US_NY_36061,-74.47,,,-81,-36,-45,-73,-46,14
5/11/2020,US_NY_36061,,,,-82,-49,-65,-77,-73,29
5/12/2020,US_NY_36061,,,,-81,-38,-49,-76,-73,28
5/13/2020,US_NY_36061,-70.82,,,-81,-39,-46,-75,-73,28
5/14/2020,US_NY_36061,-69.56,,,-80,-39,-45,-76,-73,
5/15/2020,US_NY_36061,-63.99,,,-80,-39,-46,-74,-71,28
5/16/2020,US_NY_36061,-64.91,,,-79,-32,-26,-71,-43,13
5/17/2020,US_NY_36061,-70.68,,,,,,,,
5/18/2020,US_NY_36061,-69.63,,,,,,,,
5/19/2020,US_NY_36061,-68.09,,,,,,,,
5/20/2020,US_NY_36061,-67.13,,,,,,,,
5/21/2020,US_NY_36061,-65.07,,,,,,,,
5/22/2020,US_NY_36061,-60.5,,,,,,,,
5/23/2020,US_NY_36061,-69.35,,,,,,,,
5/24/2020,US_NY_36061,-66.18,,,,,,,,
5/25/2020,US_NY_36061,-67.97,,,,,,,,
